City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Vadodara,Satellite,Independent House,3 BHK,100000,Fully furnished,2475 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
Vadodara,Bopal,Flat,3 BHK,28000,Semi furnished,1750 sq.ft,"Pool, Gym, Lift, Parking",Mahadev Estate,N/A,N/A
Vadodara,Shela,Flat,4 BHK,60000,Semi furnished,3121 sq.ft,"Pool, Gym, Lift, Parking",Universal Estate,N/A,N/A
Vadodara,Shilaj,Independent House,5 BHK,190000,Fully furnished,3795 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
Vadodara,Shantigram,Flat,3 BHK,46990,Semi furnished,2280 sq.ft,24x7 Security,HOME ADDRESS REALTY,N/A,N/A
Vadodara,Shantigram,Penthouse,4.5 BHK,88990,Semi furnished,3800 sq.ft,"24x7 Security, Gymnasium, Children Play Area, Landscaped Garden",HOME ADDRESS REALTY,N/A,N/A
Vadodara,Shela,Flat,4 BHK,60000,Fully furnished,2700 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Vadodara,Jodhpur,Flat,2 BHK,29000,Fully furnished,990 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Vadodara,Shyamal,Flat,3 BHK,50000,Semi furnished,1850 sq.ft,"24x7 Security, Gated Community, Lift, Children Play Area",Darshanshah1982,N/A,N/A
Vadodara,Thaltej,Independent House,4 BHK,150000,Fully furnished,2970 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
Vadodara,Shantigram,Flat,2 BHK,23000,Semi furnished,1250 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Bus Stop",Anoop,N/A,N/A
Vadodara,Vastrapur,Flat,3 BHK,100000,Fully furnished,2020 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Vadodara,Ramdev Nagar,Independent House,3 BHK,100000,Fully furnished,2322 sq.ft,"Parking, Intercom, Garden, Kids Area",Darshanshah1982,N/A,N/A
Vadodara,Ramdev Nagar,Independent House,4 BHK,135000,Fully furnished,3600 sq.ft,"24x7 Security, Children Play Area, Gated Community, Community Hall",Darshanshah1982,N/A,N/A
Vadodara,Ambli,Independent House,4 BHK,200000,Fully furnished,5000 sq.ft,"24x7 Security, Children Play Area, Gated Community, Community Hall",Darshanshah1982,N/A,N/A
Vadodara,Bodakdev,Flat,4 BHK,70000,Fully furnished,2790 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Vadodara,Shela,Flat,3 BHK,22000,Semi furnished,1410 sq.ft,"Pool, Gym, Lift, Parking",Mahadev Estate,N/A,N/A
Vadodara,Vaishno Devi Circle,Flat,2 BHK,24000,Semi furnished,1050 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Bus Stop",Anoop,N/A,N/A
Vadodara,Jagatpur,Flat,2 BHK,30000,Fully furnished,1280 sq.ft,"Pool, Gym, Lift, Parking",Preetam Yadav,N/A,N/A
Vadodara,Shantigram,Flat,3 BHK,27000,Semi furnished,1480 sq.ft,"Swimming Pool, Children Play Area, Community Hall, Landscaped Garden",Property Navigators LLP,N/A,N/A
Vadodara,Sola,Flat,3 BHK,30000,Semi furnished,2350 sq.ft,"Gym, Lift, Parking, Power Backup",R G Property,N/A,N/A
Vadodara,Chharodi,Flat,3 BHK,40000,Fully furnished,2055 sq.ft,"24x7 Security, Close to Hospital, School Proximity, Close to Mall",Preetam Yadav,N/A,N/A
Vadodara,Ambawadi,Flat,3 BHK,60000,Fully furnished,2295 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Vadodara,Shilaj,Flat,2 BHK,30000,Fully furnished,1185 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Vadodara,Shilaj,Flat,2 BHK,25000,Fully furnished,1062 sq.ft,"24x7 Security, Children Play Area, Indoor Game Room, Gymnasium",ASK ME NOW ADVISORS,N/A,N/A
Vadodara,University Area,Flat,3.5 BHK,50000,Fully furnished,2025 sq.ft,"Children Play Area, Indoor Game Room, Gymnasium, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Vadodara,Jagatpur,Flat,1 BHK,21000,Fully furnished,450 sq.ft,"Pool, Gym, Lift, Parking
R",Realest,N/A,N/A
Vadodara,South Bopal,Flat,3 BHK,32000,Fully furnished,1435 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Vadodara,Shantigram,Flat,2.5 BHK,27500,Semi furnished,1350 sq.ft,"24x7 Security, Gymnasium, Swimming Pool, Children Play Area",HOME ADDRESS REALTY,N/A,N/A
Vadodara,Vaishno Devi Circle,Flat,2 BHK,22000,Un-furnished,560 sq.ft,Parking,Galaxy Space Realtors,N/A,N/A
Vadodara,BSNL Colony,Flat,2 BHK,16500,Semi furnished,1000 sq.ft,"24x7 Security, Children Play Area, Close to Airport, Gated Community",Prime Properties,N/A,N/A
Vadodara,Harni,Flat,3 BHK,22000,Fully furnished,1450 sq.ft,"24x7 Security, Children Play Area, Close to Airport, Close to Mall",Radhe Real Estate,N/A,N/A
Vadodara,Akota,Flat,3 BHK,40000,Fully furnished,2100 sq.ft,"24x7 Security, Swimming Pool, Gymnasium, Gated Community",SHREE KASHTBHANJAN DEV Real Estate Consultant,N/A,N/A
Vadodara,Bhayli,Flat,3 BHK,26000,Fully furnished,1650 sq.ft,"24x7 Security, Swimming Pool, Gymnasium, Gated Community",Shivalaya Associate,N/A,N/A
Vadodara,Padra,Flat,2 BHK,16000,Fully furnished,1100 sq.ft,"Lift, Parking, Power Backup, Garden",ARIHANT ESTATE HUB,N/A,N/A
Vadodara,Akota,Independent House,2 BHK,17500,Semi furnished,900 sq.ft,"Close to Hospital, Close to Mall, Close to Movie Theatres, Close to Pubs & Restaurants",BARODA PROPERTIES,N/A,N/A
Vadodara,Gotri,Independent House,3 BHK,20000,Semi furnished,1500 sq.ft,Parking,PRAMUKH GLOBAL REALTORS,N/A,N/A
Vadodara,Chhani,Flat,2 BHK,13000,Semi furnished,860 sq.ft,"24x7 Security, Business Center, Close to Pubs & Restaurants, Closer to Pharmacy",Mars Property Dealer,N/A,N/A
