City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Sargasan,Flat,2 BHK,26000,Semi furnished,1000 sq.ft,"Close to ATM, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",JAY AMBE REALTORS,N/A,N/A
Gandhinagar,Raysan,Flat,2 BHK,21000,Fully furnished,868 sq.ft,"24x7 Security, Children Play Area, Ceramic Tiles, Metro Station Proximity",Aspirerealities,N/A,N/A
Gandhinagar,Koba,Flat,3 BHK,55000,Fully furnished,2900 sq.ft,"Utility Shops, Basketball Court, Lift, Library",Shree Vinayakaa Realtors,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,22000,Semi furnished,1200 sq.ft,"ATM, Basketball Court, Business Center, Ceramic Tiles",Royalnest Properties Solutions,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,25000,Fully furnished,1500 sq.ft,"24x7 Security, Close to Grocery Stores, Close to Hospital, Close to Pubs & Restaurants",Madhav Realtors,N/A,N/A
Gandhinagar,Bhaijipura,Flat,2 BHK,25000,Fully furnished,1088 sq.ft,"Parking, Garden, Sports Facility, Kids Area",Umiya Real Estate,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,22000,Un-furnished,1800 sq.ft,"Swimming Pool, Yoga Room, Cricket Pitch, Children Play Area",Agrawal Real Estate,N/A,N/A
Gandhinagar,Koba,Flat,2 BHK,15000,Fully furnished,1200 sq.ft,"Lift, Parking, Power Backup, Kids Area",Four Corner Property,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,30000,Semi furnished,1092 sq.ft,"Nearby: Podar International School Gandhinagar And Podar Prep Gandhinagar- 0.1 km, SMVS Swaminarayan Hospital- 1.7 km, Motera Stadi... •+ More
J",Jitendrasingh,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,28000,Fully furnished,1449 sq.ft,"Pool, Gym, Lift, Parking",Arnapurna Rath,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,22000,Un-furnished,1755 sq.ft,"Lift, Parking, Power Backup, Intercom",EIGHT CORNER REALTORS,N/A,N/A
Gandhinagar,Sector,Flat,2 BHK,25000,Fully furnished,849 sq.ft,"Parking, Kids Area, Water Supply, Gas Pipeline",Visat Realty,N/A,N/A
Gandhinagar,Adalaj,Flat,2 BHK,18000,Semi furnished,1800 sq.ft,Parking,Dravya Realty,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,23000,Semi furnished,2025 sq.ft,"24x7 Security, Business Center, Close to Bus Stop, Close to Hospital",Anoop,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,27000,Semi furnished,2025 sq.ft,"Lift, Parking, Gas Pipeline
S
ShubhRealtor",ShubhRealtor,N/A,N/A
Gandhinagar,Sector,Flat,2 BHK,18500,Semi furnished,1250 sq.ft,"Gym, Lift, Parking, Power Backup",Siddharaj,N/A,N/A
Gandhinagar,Bhaijipura,Flat,4 BHK,35000,Un-furnished,3150 sq.ft,"Lift, Parking, Power Backup, Pet Allowed",Jay Ambe Property Solution,N/A,N/A
Gandhinagar,Sargasan,Flat,2 BHK,26999,Fully furnished,1200 sq.ft,"Lift, Parking, Power Backup, Garden",AP REAL ESTATE,N/A,N/A
Gandhinagar,Raysan,Flat,2 BHK,20000,Un-furnished,963 sq.ft,"24x7 Security, Security Guards, Power Backup, Lift",Shashikant Parekh,N/A,N/A
Gandhinagar,Randesan,Flat,3 BHK,30000,Semi furnished,2025 sq.ft,"Lift, Parking, Power Backup, Intercom",Pritesh Sharma,N/A,N/A
Gandhinagar,Sargasan,Flat,3.5 BHK,45000,Fully furnished,2500 sq.ft,Parking,Parshwa Properties,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,45000,Fully furnished,3000 sq.ft,Parking,Sunil Singh Gohil,N/A,N/A
