City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Rajkot,Manharpur,Flat,2 BHK,11000,Semi furnished,750 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Flat,2 BHK,5000,Un-furnished,500 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More",Jayesh Rathod,N/A,N/A
Rajkot,Bajrang Wadi,Flat,2 BHK,15000,Fully furnished,750 sq.ft,"Lift, Water Supply","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Arya Nagar,Flat,2 BHK,10000,Fully furnished,600 sq.ft,"Nearby: Madhuvan school Morbi Road- 0.1 km, Gokul Hospital- 1.3 km, Sargam Food- 0.1 km, Heera Panna Complex- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Flat,1 BHK,8000,Fully furnished,600 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Chotu Nagar,Flat,2 BHK,12000,Un-furnished,650 sq.ft,"Lift, Parking, Kids Area, Gated Community",Neel Mehta,N/A,N/A
Rajkot,Munjka,Flat,2 BHK,8000,Semi furnished,600 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Ravi Park,Flat,3 BHK,350000,Fully furnished,1050 sq.ft,"Lift, Parking, Power Backup, Intercom
R","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Gandhigram,Flat,1 BHK,7000,Semi furnished,340 sq.ft,"Lift, Parking, Gated Community, Water Supply","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Yogi Nagar,Flat,2 BHK,13000,Semi furnished,900 sq.ft,"Lift, Parking, Gated Community, Water Supply
R","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Yogi Nagar,Flat,3 BHK,38000,Fully furnished,1000 sq.ft,"Pool, Gym, Lift, Power Backup","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Yogi Nagar,Duplex,3 BHK,18000,Semi furnished,1500 sq.ft,"Parking, Water Supply, Gas Pipeline
R","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Yogi Nagar,Duplex,3 BHK,25000,Semi furnished,1800 sq.ft,"Parking, Garden, Kids Area, Gated Community
R","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Bajrang Wadi,Flat,2 BHK,N/A,Fully Furnished,750 sq.ft,N/A,"Updated Today

Yax JayswalOwner",N/A,N/A
Rajkot,N/A,Independent House,2 BHK,N/A,Semi Furnished,700 sq.ft,N/A,"Updated Today

Shivam SejpalOwner",N/A,N/A
Rajkot,Nagar,Flat,3 BHK,N/A,Fully Furnished,1000 sq.ft,N/A,"Updated yesterday

Naresh Kumar AgarwalOwner",N/A,N/A
Rajkot,Gandhigram,Flat,1 BHK,N/A,Semi Furnished,340 sq.ft,N/A,"Updated yesterday

Nirmalbhai BrokerAgent",N/A,N/A
Rajkot,Mavdi,Independent House,1 BHK,7000,Un-furnished,500 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More",Ketan Bhesaniya,N/A,N/A
Rajkot,Mota Mava,Independent House,3 BHK,18000,Fully furnished,1650 sq.ft,"Parking, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Girirajnagar,Flat,1 BHK,11000,Semi furnished,375 sq.ft,"Pool, Gym, Lift, Parking
H","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Independent House,1 BHK,1500,Un-furnished,150 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More
A",Ajaybhai,N/A,N/A
Rajkot,Vajdi,Independent House,3 BHK,18000,Semi furnished,1400 sq.ft,Parking,"Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,1 BHK,15000,Fully furnished,150 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km
D","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Jagannath Plot,Independent House,4 BHK,40000,Fully furnished,800 sq.ft,"Intercom, Water Supply, Gas Pipeline
C","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Panchayat Nagar,Flat,3 BHK,21000,Fully furnished,1050 sq.ft,"Lift, Parking, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Flat,3 BHK,8000,Un-furnished,930 sq.ft,"Lift, Kids Area, Gated Community",Raksha Parekh,N/A,N/A
Rajkot,Nana Mava,Flat,4 BHK,60000,Fully furnished,1899 sq.ft,"Gym, Lift, Parking, Garden","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Indian Park,Flat,1 BHK,5000,Un-furnished,180 sq.ft,"Nearby: TGES - S N Kansagra School- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, William John's pizza- 0.1 km, Reliance Mall- 0.... •+ More",Devmurari Milan,N/A,N/A
Rajkot,Ghanshyam Nagar,Independent House,3 BHK,30000,Fully furnished,1500 sq.ft,"Parking, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Raiya,Flat,2 BHK,15000,Un-furnished,700 sq.ft,"Pool, Lift, Parking, Power Backup",Priyal Jobanputra,N/A,N/A
Rajkot,Vinayak Nagar,Independent House,3 BHK,20000,Semi furnished,1600 sq.ft,Water Supply,"Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,1 BHK,14990,Semi furnished,450 sq.ft,"Lift, Parking, Power Backup, Pet Allowed
G","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nalanda Society,Independent House,3 BHK,11000,Fully furnished,1500 sq.ft,"Parking, Pet Allowed, Water Supply","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Ghanshyam Nagar,Flat,4 BHK,115000,Fully furnished,2100 sq.ft,"Parking, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Kotecha Nagar,Flat,2 BHK,22000,Fully furnished,750 sq.ft,"Lift, Parking, Power Backup, Intercom
R","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Madhapar,Independent Builder Floor,2 BHK,13500,Semi furnished,1000 sq.ft,"Parking, Water Supply","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Samrat Industrial Area,Flat,3 BHK,18000,Semi furnished,950 sq.ft,Parking,"Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,4 BHK,51000,Fully furnished,2400 sq.ft,"Parking, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Kotecha Nagar,Flat,2 BHK,22000,Fully furnished,900 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Radhika Park,Flat,3 BHK,16000,Semi furnished,1000 sq.ft,"Lift, Pet Allowed, Water Supply
P","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Mota Mava,Flat,4 BHK,26000,Semi furnished,2000 sq.ft,"Pool, Gym, Lift, Power Backup","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Kotecha Nagar,Flat,2 BHK,20000,Semi furnished,900 sq.ft,"Parking
B","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,1 BHK,9990,Fully furnished,450 sq.ft,"Lift, Parking, Power Backup, Intercom","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Raiya,Flat,3 BHK,N/A,Semi furnished,1100 sq.ft,"Lift, Parking, Power Backup, Intercom","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Flat,2 BHK,13000,Semi furnished,700 sq.ft,"Lift, Parking, Power Backup, Garden","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Flat,2 BHK,12000,Semi furnished,990 sq.ft,"Nearby: Crystal Schools - Rajkot- 2.1 km, Synergy Superspeciality Hospital- 0.1 km, Ghanteshwar Park ( The Multi Cuisine Park )- 2.... •+ More","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Raiya,Flat,2 BHK,20000,Fully furnished,950 sq.ft,"Pool, Gym, Lift, Garden","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Kishan Para,Flat,3 BHK,35000,Fully furnished,1400 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Jadav Park,Flat,4 BHK,75000,Fully furnished,2800 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Jagnath Plot,Flat,1 BHK,12000,Semi furnished,600 sq.ft,"Parking, Gas Pipeline","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Bhakti Nagar,Flat,1 BHK,10000,Fully furnished,160 sq.ft,"Lift, Gated Community, Water Supply, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Raiya,Independent House,2 BHK,7000,Semi furnished,700 sq.ft,"Nearby: Vidyaniketan School- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Madhapar,Independent Builder Floor,1 BHK,4000,Semi furnished,150 sq.ft,"Nearby: Crystal Schools - Rajkot- 0.1 km, Synergy Superspeciality Hospital- 0.3 km, Big Bite- 0.1 km, Crystal Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Gundala,Duplex,1 BHK,4000,Semi furnished,200 sq.ft,"Garden, Sports Facility, Kids Area, Gated Community","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,1 BHK,15000,Fully furnished,1500 sq.ft,"Intercom, Gated Community, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Yogi Nagar,Flat,1 BHK,5000,Fully furnished,500 sq.ft,"Nearby: TGES - S N Kansagra School- 1.1 km, Synergy Superspeciality Hospital- 0.1 km, William John's pizza- 0.1 km, Reliance Mal... •+ More","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Independent House,1 BHK,4000,Fully furnished,150 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Sardar Nagar,Flat,2 BHK,15000,Semi furnished,680 sq.ft,"Lift, Gated Community, Water Supply, Gas Pipeline","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Samrat Industrial Area,Independent House,1 BHK,4500,Fully furnished,150 sq.ft,"Nearby: Tapovan School- 0.1 km, Gokul hospital Rajkot- 0.1 km, Krishna Park Resort- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Samrat Industrial Area,Independent Builder Floor,1 BHK,4000,Semi furnished,309 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 1 km... •+ More
A","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Independent House,1 BHK,5000,Un-furnished,150 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km",Sachin Rathod,N/A,N/A
Rajkot,Jagnath Plot,Independent House,1 BHK,5000,Fully furnished,1012 sq.ft,"Nearby: Virani High School Rajkot- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, La Pino'z Pizza- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Raiya,Flat,1 BHK,7000,Fully furnished,1250 sq.ft,"Nearby: Vidyaniketan School- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Munjka,Independent House,2 BHK,30000,Un-furnished,1000 sq.ft,"Nearby: Premier Schools- 0.8 km, Synergy Superspeciality Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km
J","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Railnagar,Flat,2 BHK,7000,Un-furnished,700 sq.ft,"Nearby: Karnavati International School- 1.2 km, Synergy Superspeciality Hospital- 0.1 km, Hotel ADB ""Atithi Devo Bhava""- 0.1 km ... •+ More
H",Harshad,N/A,N/A
Rajkot,Uday Nagar,Independent Builder Floor,1 BHK,5000,Un-furnished,400 sq.ft,"Nearby: Tapovan School- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Kidwai Nagar Society,Independent House,1 BHK,8000,Semi furnished,850 sq.ft,"Nearby: Nirmala Convent School- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, William John's pizza- 0.1 km, Reliance Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Flat,2 BHK,6000,Fully furnished,1000 sq.ft,"Nearby: Crystal Schools - Rajkot- 2.8 km, Synergy Superspeciality Hospital- 0.1 km, Sunny Paji Da Dhaba rajkot- 0.1 km, Madhapar... •+ More","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Independent House,2 BHK,6000,Semi furnished,400 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Mota Mava,Flat,1 BHK,3000,Un-furnished,500 sq.ft,"Nearby: Nachiketa Schooling System- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km",Ali Shekh,N/A,N/A
Rajkot,Arya Nagar,Independent Builder Floor,1.5 BHK,6500,Un-furnished,400 sq.ft,"Nearby: Kishorsinhji School No.1- 0.1 km, Gokul Hospital- 1.2 km, The Grand Thakar- 0.1 km, Reliance Mall- 0.1 km",Sumanta Bhowmick,N/A,N/A
Rajkot,Gundala,Independent House,2 BHK,2500,Fully furnished,400 sq.ft,"Nearby: Gangotri International School- 0.1 km, Shri Ram Sarvajanik Hospital- 0.1 km, Hotel Shree- 0.1 km, Vikramsinhji Complex- ... •+ More
R","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Mota Mava,Flat,1 BHK,7500,Semi furnished,500 sq.ft,"Nearby: Nachiketa Schooling System- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km
N","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Saurashtra Kala Kendra,Flat,5 BHK,120000,Fully furnished,4500 sq.ft,"Lift, Parking, Garden","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Flat,3 BHK,8000,Un-furnished,1000 sq.ft,"Lift, Kids Area, Water Supply",SAURIN B PAREKH,N/A,N/A
Rajkot,Ghanteshwer,Flat,1 BHK,8000,Un-furnished,200 sq.ft,"Nearby: Crystal Schools - Rajkot- 2.8 km, Synergy Superspeciality Hospital- 0.1 km, Sunny Paji Da Dhaba rajkot- 0.1 km, Madhapar... •+ More
B",Bhavingohel,N/A,N/A
Rajkot,Sadar,Flat,2 BHK,16000,Fully furnished,600 sq.ft,"Nearby: Nirmala Convent School- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, Big Bite- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Flat,3 BHK,20000,Semi furnished,1200 sq.ft,"Lift, Parking, Power Backup, Intercom","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Mota Mava,Independent House,1 BHK,5000,Semi furnished,150 sq.ft,"Nearby: Nachiketa Schooling System- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km
A","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Swati Park,Independent House,1 BHK,5000,Un-furnished,600 sq.ft,"Nearby: Tapovan School- 0.1 km, Olympus Hospital- 0.1 km, Shubh Restaurant & Banquet- 0.9 km, Reliance Mall- 0.1 km",Ravi Meswaniya,N/A,N/A
Rajkot,Railnagar,Independent House,1 BHK,6000,Un-furnished,500 sq.ft,"Nearby: Karnavati International School- 1.2 km, Synergy Superspeciality Hospital- 0.1 km, Hotel ADB ""Atithi Devo Bhava""- 0.1 km ... •+ More",Sanjay Joshi,N/A,N/A
Rajkot,Ghanshyam Nagar,Independent House,3 BHK,20000,Semi furnished,1600 sq.ft,"Nearby: TGES - S N Kansagra School- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Independent House,1 BHK,10000,Semi furnished,150 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Duplex,3 BHK,45000,Fully furnished,850 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Ghanteshwer,Independent House,3 BHK,15000,Fully furnished,738 sq.ft,"Nearby: Crystal Schools - Rajkot- 2.8 km, Synergy Superspeciality Hospital- 0.1 km, Sunny Paji Da Dhaba rajkot- 0.1 km, Madhapar... •+ More
K","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Radhika Park,Flat,2 BHK,15500,Semi furnished,650 sq.ft,"Gym, Lift, Power Backup, Garden","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Anand Nagar,Independent House,2 BHK,8000,Semi furnished,750 sq.ft,"Nearby: Patanjali vidyalay- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Om Restaurant- 0.1 km, Reliance Mall- 0.1 km
R","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Sadar,Flat,2.5 BHK,20000,Semi furnished,900 sq.ft,"Nearby: Nirmala Convent School- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, Big Bite- 1.5 km, Reliance Mall- 0.1 km
P","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Madhapar,Duplex,2 BHK,15000,Fully furnished,3000 sq.ft,"Nearby: Crystal Schools - Rajkot- 0.1 km, Synergy Superspeciality Hospital- 1.1 km, Big Bite- 0.1 km, The City Center Showroom a... •+ More
G","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Flat,3 BHK,25000,Fully furnished,1200 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Shapar,Independent House,4 BHK,12000,Fully furnished,715 sq.ft,"Pet Allowed, Water Supply, Gas Pipeline","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Girirajnagar,Independent House,3 BHK,17000,Semi furnished,1200 sq.ft,"Nearby: Nirmala Convent School- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, William John's pizza- 0.1 km, Reliance Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,3 BHK,18000,Fully furnished,950 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Mavdi,Flat,4 BHK,15000,Semi furnished,1700 sq.ft,"Nearby: Tapovan School- 0.1 km, Wockhardt Hospitals, Rajkot- 0.1 km, Fortune Park JPS Grand, Rajkot - Member ITCs hotel group- 0.1 ... •+ More
S","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Bhakti Nagar,Flat,3 BHK,30000,Fully furnished,2600 sq.ft,"Lift, Garden, Gated Community, Water Supply","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Nana Mava,Flat,1.5 BHK,15000,Fully furnished,600 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Munjka,Independent House,3 BHK,21000,Semi furnished,1200 sq.ft,"Nearby: Premier Schools- 0.1 km, Synergy Superspeciality Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Kotecha Nagar,Independent House,2 BHK,18000,Fully furnished,1500 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Madhapar,Flat,2 BHK,12500,Semi furnished,994 sq.ft,"Nearby: Crystal Schools - Rajkot- 0.1 km, Synergy Superspeciality Hospital- 1.1 km, Big Bite- 0.1 km, The City Center Showroom a... •+ More","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Yogi Nagar,Independent House,2 BHK,25000,Semi furnished,2200 sq.ft,"Parking, Water Supply, Gas Pipeline
H","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Rajkot,Asha Nand Society,Independent House,2 BHK,10000,Un-furnished,900 sq.ft,"Nearby: Nirmala Convent School- 0.1 km, Sterling Hospitals - Rajkot- 0.1 km, Big Bite- 0.1 km, Reliance Mall- 0.1 km",Kuldeep Kanzaria,N/A,N/A
Rajkot,Swati Park,Flat,2 BHK,15000,Fully furnished,900 sq.ft,"Nearby: Tapovan School- 0.1 km, Olympus Hospital- 0.1 km, Shubh Restaurant & Banquet- 0.9 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Raiya,Independent House,2 BHK,50000,Fully furnished,1200 sq.ft,"Nearby: Premier Schools- 1.2 km, Synergy Superspeciality Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km","Builtup areaFully furnished
Furnishing status",N/A,N/A
Rajkot,Vidya Nagar,Flat,1 BHK,7000,Un-furnished,450 sq.ft,Parking,N/A,N/A,N/A
Rajkot,Nana Mava,Independent House,3 BHK,20000,Un-furnished,1560 sq.ft,"Nearby: K G Dholakiya School- 0.1 km, Shree Giriraj Hospital- 0.1 km, McDonald's- 0.1 km, Reliance Mall- 0.1 km
R",Rfal,N/A,N/A
