City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Surat,Adajan,Independent Builder Floor,1 BHK,10500,Semi furnished,622 sq.ft,"Close to Grocery Stores, Close to Bus Stop, Close to Hospital, Closer to Pharmacy",Shubh Siddhi Realty,N/A,N/A
Surat,Adajan,Flat,3 BHK,35000,Semi furnished,1800 sq.ft,Parking,JMS Property Services,N/A,N/A
Surat,Adajan,Flat,3 BHK,26000,Semi furnished,1700 sq.ft,"Lift, Parking, Power Backup, Water Supply",Vishwa Property Consultant,N/A,N/A
Surat,Adajan,Flat,2 BHK,19000,Semi furnished,1250 sq.ft,"Lift, Parking, Power Backup, Intercom",Nilesh Patel,N/A,N/A
Surat,Adajan,Flat,2 BHK,14500,Semi furnished,1144 sq.ft,"Parking, Water Supply, Gas Pipeline",Rental Surat,N/A,N/A
Surat,Adajan,Flat,3 BHK,33000,Un-furnished,1800 sq.ft,"Lift, Parking, Power Backup, Garden",Pinkesh Reliyawala,N/A,N/A
Surat,Adajan,Independent House,3 BHK,35000,Fully furnished,881 sq.ft,Parking,Om Property,N/A,N/A
Surat,Adajan,Flat,2 BHK,22000,Fully furnished,1225 sq.ft,Parking,Shailesh Thakkar,N/A,N/A
Surat,Adajan,Flat,1 BHK,5000,Un-furnished,200 sq.ft,"Nearby: SHREE SWAMINARAYAN H.V. VIDYALAYA- 0.1 km, Shalby Multi-Specialty Hospitals, Surat- 0.1 km, Glorious Restaurant- 0.1 km, ... •+ More",Ravi Raj,N/A,N/A
Surat,Adajan,Flat,3 BHK,25000,Un-furnished,1050 sq.ft,"Nearby: L.P. Savani- 1 km, Shalby Multi-Specialty Hospitals, Surat- 0.1 km, Burger King- 0.1 km, Imperial Square Mall- 0.1 km",Rajesh Patel,N/A,N/A
Surat,Adajan,Flat,2 BHK,24000,Un-furnished,1285 sq.ft,Parking,Krunal Barad,N/A,N/A
Surat,Adajan,Flat,2 BHK,25000,Fully furnished,1300 sq.ft,"Lift, Parking, Power Backup, Intercom",METROCITY REAL ESTATE,N/A,N/A
Surat,Adajan,Flat,2 BHK,21000,Un-furnished,1163 sq.ft,Parking,Sanket Arvind Vankawala,N/A,N/A
Surat,Adajan,Flat,1 BHK,12000,Semi furnished,900 sq.ft,"Parking, Gas Pipeline
L",Love,N/A,N/A
Surat,Adajan,Flat,3 BHK,40000,Fully furnished,2200 sq.ft,"Lift, Parking, Power Backup, Intercom",Vinit Joshi,N/A,N/A
Surat,Adajan,Flat,2 BHK,18000,Fully furnished,1223 sq.ft,"Lift, Parking, Power Backup, Intercom",K K Real Estate,N/A,N/A
Surat,Adajan,Flat,3 BHK,18000,Semi furnished,1200 sq.ft,Parking,Prakash Satote,N/A,N/A
Surat,Adajan,Flat,2 BHK,25000,Semi furnished,1250 sq.ft,"24x7 Security, Lift, Power Backup, Children Play Area",Kashmira Shah,N/A,N/A
Surat,Adajan,Flat,2 BHK,20000,Semi furnished,1200 sq.ft,"Lift, Parking, Gas Pipeline",Krishna Property,N/A,N/A
Surat,Adajan,Flat,2 BHK,27000,Fully furnished,928 sq.ft,"Gym, Lift, Parking, Power Backup",Abhay Shah,N/A,N/A
Surat,Adajan,Independent House,5 BHK,100000,Fully furnished,3000 sq.ft,"Parking
B",Bharat,N/A,N/A
Surat,Adajan,Independent House,3 BHK,35000,Fully furnished,1500 sq.ft,Parking,SHIV DHARA PROPERTY,N/A,N/A
Surat,Adajan,Independent House,3 BHK,25000,Semi furnished,1600 sq.ft,Parking,Bhavesh Ghayal,N/A,N/A
Surat,Adajan,Flat,3 BHK,50000,Fully furnished,2250 sq.ft,Parking,SHAH PROPERTY,N/A,N/A
Surat,Adajan,Independent Builder Floor,2 BHK,10500,Un-furnished,1100 sq.ft,"Nearby: Seven Steps School- 0.1 km, Shalby Multi-Specialty Hospitals, Surat- 0.1 km, Lemon Grass Garden Restaurant- 0.1 km, Impe... •+ More",SHIV PROPERTY,N/A,N/A
Surat,Adajan,Independent House,3 BHK,35674,Fully furnished,2345 sq.ft,Parking,NK PROPERTIES,N/A,N/A
Surat,Adajan,Independent House,3 BHK,20000,Semi furnished,1800 sq.ft,"24x7 Security, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Rakesh H Tailor,N/A,N/A
Surat,Adajan,Flat,3 BHK,33000,Semi furnished,1900 sq.ft,"Gym, Lift, Parking, Power Backup",Vaijal Patel,N/A,N/A
Surat,Adajan,Flat,3 BHK,27000,Un-furnished,2250 sq.ft,"Lift, Parking, Intercom, Garden",Prime Properties,N/A,N/A
Surat,Adajan,Independent House,3 BHK,25000,Semi furnished,900 sq.ft,Parking,JMS Property Services,N/A,N/A
Surat,Adajan,Independent Builder Floor,1 BHK,15500,Fully furnished,746 sq.ft,"Closer to Pharmacy, Close to Grocery Stores, Close to ATM, Close to Hospital",Shubh Siddhi Realty,N/A,N/A
Surat,Adajan,Independent House,2 BHK,22000,Semi furnished,1400 sq.ft,"Close to ATM, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Vishwa Property Consultant,N/A,N/A
Surat,Adajan,Flat,3 BHK,20000,Semi furnished,1500 sq.ft,"Pool, Lift, Parking, Power Backup",Pinkesh Reliyawala,N/A,N/A
Surat,Adajan,Flat,2 BHK,15500,Un-furnished,1189 sq.ft,"Lift, Parking, Power Backup, Gated Community",Rental Surat,N/A,N/A
Surat,Adajan,Independent House,4 BHK,27000,Un-furnished,2000 sq.ft,"Parking
L",Love,N/A,N/A
Surat,Adajan,Independent House,4 BHK,55000,Fully furnished,550 sq.ft,"Parking, Gas Pipeline",Krishna Property,N/A,N/A
Surat,Adajan,Flat,2 BHK,27000,Fully furnished,1335 sq.ft,"Gym, Lift, Parking, Power Backup",Abhay Shah,N/A,N/A
Surat,Adajan,Flat,2 BHK,20000,Fully furnished,1650 sq.ft,Parking,Vinit Joshi,N/A,N/A
Surat,Adajan,Flat,3 BHK,25000,Un-furnished,1863 sq.ft,"Gym, Lift, Parking, Intercom",K K Real Estate,N/A,N/A
Surat,Adajan,Flat,2 BHK,25000,Fully furnished,1250 sq.ft,Parking,SHIV PROPERTY,N/A,N/A
Surat,Adajan,Flat,3 BHK,32000,Semi furnished,1890 sq.ft,Parking,Krunal Barad,N/A,N/A
Surat,Adajan,Flat,2 BHK,12000,Semi furnished,1250 sq.ft,Parking,SHAH PROPERTY,N/A,N/A
Surat,Adajan,Flat,3 BHK,28000,Semi furnished,1750 sq.ft,"Close to ATM, Close to Bus Stop, Close to Grocery Stores, Close to Hospital",Vishwa Property Consultant,N/A,N/A
Surat,Adajan,Flat,1 BHK,14500,Fully furnished,790 sq.ft,"Close to Grocery Stores, Close to Hospital, Closer to Pharmacy, East Facing Kitchen",Shubh Siddhi Realty,N/A,N/A
Surat,Adajan,Independent House,4 BHK,40000,Fully furnished,4500 sq.ft,"Parking, Power Backup, Garden, Kids Area",Pinkesh Reliyawala,N/A,N/A
Surat,Adajan,Independent House,4 BHK,24000,Un-furnished,2000 sq.ft,"Parking
L",Love,N/A,N/A
Surat,Adajan,Independent House,3 BHK,40000,Fully furnished,2500 sq.ft,"Gym, Lift, Parking, Power Backup",Abhay Shah,N/A,N/A
Surat,Adajan,Flat,2 BHK,24000,Semi furnished,1189 sq.ft,"Gym, Lift, Parking, Power Backup",K K Real Estate,N/A,N/A
Surat,Adajan,Independent House,2 BHK,13999,Semi furnished,1400 sq.ft,"Parking, Power Backup, Kids Area, Gated Community",SHIV PROPERTY,N/A,N/A
Surat,Adajan,Flat,3 BHK,35000,Fully furnished,1700 sq.ft,"Lift, Parking, Garden, Water Supply",Krishna Property,N/A,N/A
Surat,Adajan,Flat,2 BHK,15000,Semi furnished,1250 sq.ft,"Parking, Gas Pipeline",Shree Jalaram Estate Agency,N/A,N/A
Surat,Adajan,Flat,2 BHK,14000,Semi furnished,1250 sq.ft,"Lift, Parking, Power Backup, Garden",Mahadev Realty,N/A,N/A
Surat,Adajan,Flat,2 BHK,23000,Fully furnished,1200 sq.ft,"Parking, Gas Pipeline
S",Sahil,N/A,N/A
Surat,Adajan,Independent House,2 BHK,24000,Fully furnished,1850 sq.ft,Parking,Sanket Arvind Vankawala,N/A,N/A
Surat,Adajan,Flat,3 BHK,20000,Un-furnished,2500 sq.ft,Parking,Prime Properties,N/A,N/A
Surat,Adajan,Flat,2 BHK,17000,Semi furnished,1150 sq.ft,Parking,SHIV DHARA PROPERTY,N/A,N/A
Surat,Adajan,Independent Builder Floor,2 BHK,14000,Semi furnished,1200 sq.ft,"Parking, Gas Pipeline
S",Sahil,N/A,N/A
Surat,Adajan,Independent House,2 BHK,20000,Fully furnished,1650 sq.ft,Parking,Sanket Arvind Vankawala,N/A,N/A
Surat,Adajan,Flat,2 BHK,16000,Un-furnished,1250 sq.ft,"Lift, Parking, Garden, Sports Facility",Prime Properties,N/A,N/A
Surat,Adajan,Flat,2 BHK,18000,Fully furnished,1250 sq.ft,Parking,SHAH PROPERTY,N/A,N/A
City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
