State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Peri Peri Strips & Popcorn Party Bucket,599.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Chill Squad Strips & Mojito Platter,419.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Classic Chicken Roll Buddy Meal,499.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Tandoori Roll & Zinger Pop Meal,419.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Veggie Vibe Zinger Duo Meal,589.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Forever Fam Chicken Leg Bucket,899.0,4.7,1
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Chill Vibes Zinger Meal,339.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Squad Goals Hot Wings & Leg Combo,666.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,BFF Chicken Leg & Strips Bucket,599.0,4.3,1
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Double Chicken Roll,168.57,4.9,11
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Classic Chicken Roll,139.0,4.8,20
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Double Chicken Roll Meal for 1,379.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Classic Chicken Roll Meal for 2,479.05,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Thai Spicy Chicken Roll,139.0,3.3,4
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Indian Tandoori Chicken Roll,139.0,5.0,4
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Korean Tangy Chicken Roll,139.0,4.3,1
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Indian Spicy Veg Roll,139.0,4.1,4
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Korean & Thai Roll Chicken Meal,569.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Indian Tandoori Roll Chicken Meal,419.0,4.0,2
Gujarat,Ahmedabad,KFC,Hebatpur,Recommended,Korean Tangy Roll & Popcorn Chicken Meal,319.0,4.4,2
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Peri Peri Strips & Popcorn Party Bucket,599.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Chill Squad Strips & Mojito Platter,419.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Classic Chicken Roll Buddy Meal,499.0,0.0,0
Gujarat,Ahmedabad,KFC,Hebatpur,Friendship Day Epic Deals (upto Rs 256 off),Tandoori Roll & Zinger Pop Meal,419.0,0.0,0
