Restaurants_Name,Rating,Num_of_ratings,Cuisines,Cost,address,links
Asal Amdavadi Tava Fry,3.8,10K+ ratings,"North Indian, Biryani",₹ 300 for two person,"9/70, PLOT NO. A/2, B & B/A/1, BORWADA, VACHALO MOHALLO, RANDER, SURAT",https://www.swiggy.com/restaurants/asal-amdavadi-tava-fry-rander-new-rander-road-surat-79442
Radhe Dhokla,4.4,5K+ ratings,"Chinese, North Indian",₹ 200 for two person,"Singapuri wadi,Rustampura main road Behind 21st century Building, Ring Rd, Surat, Gujarat 395002",https://www.swiggy.com/restaurants/radhe-dhokla-ring-road-athwa-surat-401459
Taj Mahal Restaurant,3.3,10K+ ratings,"Closes soonNorth Indian, Biryani",₹ 160 for two person,"New Taj Mahal Restaurant, OPP. SURAT RAILWAY STATION , SURAT",https://www.swiggy.com/restaurants/taj-mahal-restaurant-opp-railway-station-varachha-surat-71036
McDonald's,4.3,5K+ ratings,"Burgers, Beverages",₹ 400 for two person,"Hardcastle Restaurants Pvt Ltd,McDonalds Family Restaurants, RSM 09, RSM 24-26, Reliance Mega Mall, Udhana Darwaja, Opp. Passport Office, Ring Road, Surat - 394210, Gujarat.",https://www.swiggy.com/restaurants/mcdonalds-reliance-mall-khatodra-wadi-surat-100721
24 Carats Mithai Magic,4.7,1K+ ratings,"Desserts, Ice Cream",₹ 500 for two person,"3/2886, RATNDEEP CHEMBERS, MALI NI WADI,  SALABATPURA RING ROAD,Surat",https://www.swiggy.com/restaurants/24-carats-mithai-magic-athwa-ring-road-surat-421796
Jay Jalaram Thali,3.6,10K+ ratings,"Chinese, Biryani",₹ 130 for two person,"1/3277, Behind Venus Chambers, Near Jain Bhojanshala, Kaji Maidan, Gopipura, Surat 395001",https://www.swiggy.com/restaurants/jay-jalaram-thali-chowk-bazar-gopipura-surat-205488
Shree Sai Restaurant Fancy Dhosa - Salabatpura,4.3,10K+ ratings,"Chinese, South Indian",₹ 200 for two person,"L14,15 Shree Ram Snehi Complex, Opp Sahid Chowk, Near Rupam Cienma, Salabatpura, Surat",https://www.swiggy.com/restaurants/shree-sai-restaurant-fancy-dhosa-salabatpura-salabatpura-surat-79606
Gopal Ji,4.1,100+ ratings,North Indian,₹ 250 for two person,"G-3, NEW SUPREME MARKET, GROUND FLOOR,RINF ROAD, SURAT 395003",https://www.swiggy.com/restaurants/gopal-ji-new-textile-market-athwa-surat-417809
Mahesh Pav Bhaji,3.9,1K+ ratings,"North Indian, Chinese",₹ 200 for two person,"Shop 2,3,4,5 Sunday Hub, Amba Talavadi Circle, Opp Ankur Vidyalaya, Katargam, Surat, Gujarat",https://www.swiggy.com/restaurants/mahesh-pav-bhaji-katargam-surat-215228
Creamy Heaven,4.2,1K+ ratings,"Desserts, Ice Cream",₹ 250 for two person,"3/2632,arab masjid,nr.police station, salabatpura, surat",https://www.swiggy.com/restaurants/creamy-heaven-salabatpura-surat-surat-116869
Subway,4.0,5K+ ratings,"Fast Food, Healthy Food",₹ 350 for two person,"Amrithara Complex, Opposite Xaviers School, Ghod Dhod Road, City Light, Surat",https://www.swiggy.com/restaurants/subway-ghod-dod-road-athwa-surat-65028
Maakhan Bhog,4.2,500+ ratings,"Desserts, Chinese",₹ 300 for two person,"SHOP NO G-1, EKTA TEXTILE MARKET, RING ROAD, SURAT   395007",https://www.swiggy.com/restaurants/maakhan-bhog-athwa-ekta-market-ring-road-surat-474714
Purohit Gujarati Thali,3.8,500+ ratings,Closes soonGujarati,₹ 200 for two person,"Supreme Market, Ring Road, Surat - 395002, Opposite Textile Market",https://www.swiggy.com/restaurants/purohit-gujarati-thali-ring-road-new-textile-market-surat-70518
Halvawala Sweet And Snacks,4.2,500+ ratings,Desserts,₹ 150 for two person,"3/2090 A3B VACHI SHERI SALABATPURA, SURAT",https://www.swiggy.com/restaurants/halvawala-sweet-and-snacks-salabatpura-new-textile-market-surat-116846
Pahelvan Brother'S,--,Too Few Ratings,North Indian,₹ 200 for two person,"Shop no. 7, G.F, Sai Darshan market ,opp. Multi level parking, ring road, surat, Gujarat - 395010",https://www.swiggy.com/restaurants/pahelvan-brothers-near-jalaram-khaman-adajan-pankaj-nagar-surat-309790
